onset	duration	sample	value
684.5556640625	n/a	700986	4311
684.599609375	n/a	701031	1112
686.2314453125	n/a	702702	4210
687.3720703125	n/a	703870	4230
687.4521484375	n/a	703952	3200
687.9833984375	n/a	704496	2621
688.6513671875	n/a	705180	4210
689.4609375	n/a	706009	4312
690.244140625	n/a	706811	1311
690.3828125	n/a	706953	1312
690.763671875	n/a	707343	1311
690.7685546875	n/a	707348	1111
690.9072265625	n/a	707490	1312
691.296875	n/a	707889	1311
691.4248046875	n/a	708020	1312
691.6015625	n/a	708201	4311
691.658203125	n/a	708259	1112
691.7509765625	n/a	708354	4220
693.201171875	n/a	709839	4210
693.7314453125	n/a	710382	4312
695.3935546875	n/a	712084	1311
695.5205078125	n/a	712214	1312
695.7333984375	n/a	712432	2622
696.0224609375	n/a	712728	4220
696.48828125	n/a	713205	4210
697.01171875	n/a	713741	1111
697.611328125	n/a	714355	4220
697.689453125	n/a	714435	4311
697.7333984375	n/a	714480	1112
699.8154296875	n/a	716612	4210
700.8046875	n/a	717625	4312
702.966796875	n/a	719839	1111
703.6552734375	n/a	720544	4311
703.6767578125	n/a	720566	4220
703.69921875	n/a	720589	1112
705.740234375	n/a	722679	4210
708.1875	n/a	725185	4312
708.8203125	n/a	725833	1111
709.3642578125	n/a	726390	4220
709.7275390625	n/a	726762	4311
709.783203125	n/a	726819	1112
711.953125	n/a	729041	4210
716.09375	n/a	733281	4312
717.8193359375	n/a	735048	1121
718.67578125	n/a	735925	4311
718.708984375	n/a	735959	4230
718.73046875	n/a	735981	1122
720.5126953125	n/a	737806	4210
720.8427734375	n/a	738144	4312
723.1640625	n/a	740521	1311
723.28125	n/a	740641	1312
725.0810546875	n/a	742484	1111
725.3583984375	n/a	742768	4220
725.6806640625	n/a	743098	4311
725.7138671875	n/a	743132	1112
725.892578125	n/a	743315	1311
725.9853515625	n/a	743410	1312
726.4140625	n/a	743849	1311
726.541015625	n/a	743979	1312
726.6357421875	n/a	744076	3200
726.9833984375	n/a	744432	2621
728.275390625	n/a	745755	4210
728.525390625	n/a	746011	4312
731.15234375	n/a	748701	1111
731.8388671875	n/a	749404	4311
731.8837890625	n/a	749450	1112
731.9453125	n/a	749513	4220
733.4658203125	n/a	751070	4210
734.146484375	n/a	751767	4312
